식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리요거트,100ml,85,,1.13,,,,15.44,,,,,,23,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리요거트 스무디,100ml,36,,0.48,,,,7.62,,,,,,17,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리요거트 스무디 (L),100ml,137,,1.03,,,,27.24,,,,,,23,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리요거트 스무디 (R),100ml,82,,1.2,,,,15.5,,,,,,18,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_사과요거트 스무디,100ml,71,,1.48,,,,8.81,,,,,,19,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
스무디_삼삼 한라봉 스무디 (L),100ml,55,,0.34,,,,10.32,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_삼삼 한라봉 스무디 (R),100ml,55,,0.21,,,,10.15,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_삼삼 한라봉 스무디 (S),100ml,55,,0.28,,,,10.17,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_샤인머스캣 스무디,100ml,50,,0,,,,12.18,,,,,,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_소다 쉐이크 (L),100ml,65,,0.74,,,11.73,11.21,,,,,,14,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,
스무디_소다 쉐이크 (ML),100ml,65,,0.85,,,12.39,11.83,,,,,,15,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,
스무디_솔티카라멜 밀크 쉐이크,100ml,110,,0.98,,,,12.84,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_배 슬러피 아이스(ICED) (L),100ml,78,,0,,,17.86,11.84,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_배 슬러피 아이스(ICED) (ML),100ml,64,,0,,,14.23,9.44,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_버터스카치폼 에스프레소 블렌디드,100ml,93,,0.49,,,,8.37,,,,,,22,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,
스무디_베리 캐롯 스무디 (L),100ml,44,,1.02,,,,8.63,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_베리 캐롯 스무디 (R),100ml,44,,0.85,,,,8.67,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_베리 캐롯 스무디 (S),100ml,44,,0.85,,,,8.47,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_베리베리 스무디 (L),100ml,61,,0.34,,,,12.86,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_베리베리 스무디 (R),100ml,61,,0.21,,,,12.9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_베리베리 스무디 (S),100ml,46,,1.13,,,,9.6,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_복숭아 요거스 아이스(ICED) (L),100ml,69,,0.95,,,13.53,12.68,,,,,,14,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,
스무디_복숭아 요거스 아이스(ICED) (ML),100ml,71,,0.99,,,14.23,13.24,,,,,,15,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
스무디_복숭아 스무디 (L),100ml,64,,0.1,,,,15.49,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_복숭아 스무디 (R),100ml,63,,0.1,,,,15.38,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_복숭아 요거스무디,100ml,105,,1.86,,,,16.75,,,,,,34,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,
스무디_복숭아 요거트 드링크,100ml,67,,1.64,,,10.56,10.33,,,,,,30,,,,,,,,,0,1.26,6.81,,,,,,,,,,,,,,,,,,,,,,,
스무디_브이브이 찰떡이브이,100ml,104,,1.24,,,,14.26,,,,,,28,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리 요거스 아이스(ICED) (L),100ml,69,,0.95,,,13.74,13,,,,,,14,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리 요거스 아이스(ICED) (ML),100ml,72,,0.99,,,14.37,13.66,,,,,,14,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
스무디_블루베리 요거트 스무디,100ml,77,,1.61,,,,11.66,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트쿠키 프라페,100ml,128,,1.69,,,,12.01,,,,,,50,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밀크 쉐이크 (L),100ml,75,,0.95,,,9.94,6.13,,,,,,37,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밀크 쉐이크 (ML),100ml,77,,0.99,,,10.56,6.48,,,,,,38,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밀크 쉐이크,100ml,83,,0.85,,,,10.15,,,,,,34,,,,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밀크 쉐이크,100ml,85,,0.98,,,,8.73,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밀크 쉐이크 (R),100ml,101,,1.5,,,,11.4,,,,,,41,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바나나 아일랜드 스무디 (L),100ml,46,,1.18,,,,9.64,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바나나 아일랜드 스무디 (R),100ml,46,,1.06,,,,9.51,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바나나 아일랜드 스무디 (S),100ml,46,,1.13,,,,9.6,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바나나 초코칩 프라페,100ml,108,,1.52,,,,14.45,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바나나 퐁 프라페,100ml,113,,1.68,,,,14.43,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바나나프로틴쉐이크,100ml,81,,5,,,,8,,,,,,44,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바닐라 퐁 프라페,100ml,103,,1.18,,,,126.06,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바닐라 쉐이크,100ml,88,,2.27,,,13.93,8.69,,,,,,49,,,,,,,,,0,0.87,5.32,,,,,,,,,,,,,,,,,,,,,,,
스무디_바닐라 프라페 (L),100ml,82,,0.89,,,,7.76,,,,,,35,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,
스무디_바닐라 프라페 (R),100ml,79,,0.73,,,,7.33,,,,,,26,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,
스무디_발로나 민트 초코 프라페,100ml,102,,1.18,,,,15.29,,,,,,33,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밤 카라멜 리터치노 아이스(ICED) (L),100ml,89,,1.27,,,13.64,10.57,,,,,,19,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,
스무디_밤 카라멜 리터치노 아이스(ICED) (ML),100ml,92,,1.27,,,14.08,10.7,,,,,,20,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 스무디 (L),100ml,93,,0,,,,16.51,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 스무디 (M),100ml,94,,0,,,,20.3,,,,,,23,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 스무디 (R),100ml,93,,0,,,,16.53,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고요거트,100ml,84,,1.53,,,,17.11,,,,,,25,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고요거트 스무디,100ml,71,,1.48,,,,8.81,,,,,,19,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 요거트 코코 스무디,100ml,110,,1.65,,,,18.69,,,,,,42,,,,,,,,,0,1.14,5.02,,,,,,,,,,,,,,,,,,,,,,,
스무디_멜론 쉐이크 (L),100ml,66,,1.06,,,10.89,9.94,,,,,,32,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,
스무디_멜론 쉐이크 (ML),100ml,66,,1.13,,,11.41,10.42,,,,,,33,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,
스무디_모카 프라페 (L),100ml,91,,1.4,,,,11.93,,,,,,37,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,
스무디_모카 프라페 (R),100ml,66,,1.08,,,,8.38,,,,,,30,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트 블렌디드,100ml,76,,1.08,,,,12.39,,,,,,42,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트 초코 프라페,100ml,114,,1.57,,,,10.61,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초코 루비치노,100ml,71,,1.19,,,,8.81,,,,,,19,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초코 스무디 (L),100ml,77,,1.45,,,,11.52,,,,,,51,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초코 스무디 (M),100ml,85,,1.37,,,,13.37,,,,,,56,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초코칩 프라페,100ml,118,,0.51,,,,15.91,,,,,,57,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초코프라푸치노,100ml,90,,1.33,,,,13.69,,,,,,46,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초콜릿칩 프라페 (L),100ml,99,,1.36,,,,9.2,,,,,,34,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,
스무디_민트초콜릿칩 프라페 (R),100ml,99,,1.35,,,,9.2,,,,,,34,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,
스무디_로기 리틀 스트로베리 익스크림 스무디,100ml,54,,0.28,,,,11.86,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_리얼초코 프라페,100ml,113,,2.03,,,,7.95,,,,,,48,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_린1 다크초코 스무디 (L),100ml,50,,2.2,,,,1.52,,,,,,17,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,
스무디_린1 다크초코 스무디 (R),100ml,50,,2.11,,,,1.48,,,,,,17,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,
스무디_린1 다크초코 스무디 (S),100ml,50,,2.26,,,,1.69,,,,,,17,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
스무디_린1 스트로베리 스무디 (L),100ml,47,,2.2,,,,6.6,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_린1 스트로베리 스무디 (R),100ml,47,,2.11,,,,6.55,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_린1 스트로베리 스무디 (S),100ml,47,,2.26,,,,6.5,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_말차초코칩 프라페,100ml,150,,0.85,,,,22,,,,,,71,,,,,,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 바나나 프라페,100ml,50,,0.19,,,,12.2,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 아이스 블렌디드,100ml,77,,0.28,,,,14.93,,,,,,14,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 요거스 아이스(ICED) (L),100ml,70,,0.95,,,13.95,13.11,,,,,,14,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 요거스 아이스(ICED) (ML),100ml,73,,0.99,,,14.65,13.8,,,,,,14,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 요거트 스무디,100ml,74,,0.99,,,,13.19,,,,,,18,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 페스티벌 스무디 (L),100ml,54,,0.51,,,,11.84,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 페스티벌 스무디 (R),100ml,53,,0.42,,,,11.84,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 페스티벌 스무디 (S),100ml,54,,0.56,,,,11.86,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고바나나요거트,100ml,83,,1.29,,,,15.04,,,,,,24,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,
스무디_망고 스무디 (L),100ml,70,,0,,,,15.12,,,,,,17,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기요거트 스무디,100ml,50,,1.17,,,,7.62,,,,,,23,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거트 드링크,100ml,63,,1.54,,,10,9.74,,,,,,29,,,,,,,,,0,1.18,6.36,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기요거트 스무디 (L),100ml,93,,0.87,,,,16.71,,,,,,16,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기요거트 스무디 (R),100ml,83,,1.2,,,,16.5,,,,,,18,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 초코칩 프라페,100ml,134,,0.68,,,,18.95,,,,,,70,,,,,,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기크림쿠키 프라페,100ml,126,,2.03,,,,12.01,,,,,,67,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기크림프라푸치노,100ml,86,,0.89,,,,12.56,,,,,,22,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기피치 요거스무디,100ml,111,,1.86,,,,17.26,,,,,,34,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기한라봉 스무디,100ml,66,,0,,,,15.23,,,,,,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_라니 리틀 골드키위 썬샤인 스무디,100ml,68,,0.28,,,,15.25,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_라이스 쉐이크,100ml,121,,1.4,,,,11.4,,,,,,56,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_라임자몽 크러쉬,100ml,12,,0.05,,,,2.2,,,,,,4,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
스무디_라임포도 크러쉬,100ml,32,,0.15,,,,7.29,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_레드자몽 쿨러시,100ml,61,,0.08,,,,14.4,,,,,,8,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_레몬 딸기 스무디,100ml,46,,0.05,0,,11.57,10.93,,,,,,2,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스무디_레몬 요거트 스무디,100ml,78,,1.53,,,14.32,13.74,,,,,,29,,,,,,,,,0,1.06,5.02,,,,,,,,,,,,,,,,,,,,,,,
스무디_레몬트위스트 스트로베리 스무디 (L),100ml,71,,0.17,,,,16.24,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_레몬트위스트 스트로베리 스무디 (R),100ml,71,,0.21,,,,16.28,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_레몬트위스트 스트로베리 스무디 (S),100ml,71,,0.28,,,,16.38,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거스 아이스(ICED) (ML),100ml,71,,0.99,,,14.23,13.38,,,,,,14,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거트 블렌디드,100ml,84,,0.91,,,,15.01,,,,,,14,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거트 스무디,100ml,75,,1.57,,,,11.91,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거트 스무디,100ml,79,,1.29,,,,14.69,,,,,,15,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거트 스무디,100ml,87,,0.34,,,,15.57,,,,,,19,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 유자 소르베,100ml,77,,0.08,,,,18.5,,,,,,12,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 코코 스무디,100ml,98,,2.2,,,19.31,12.93,,,,,,38,,,,,,,,,0,0.85,4.62,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기바나나요거트,100ml,77,,1.26,,,,13.07,,,,,,20,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 복숭아 스무디,100ml,35,,0,0,,8.88,8.67,,,,,,3,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 쉐이크,100ml,80,,0.68,,,,13.2,,,,,,24,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 쉐이크 (R),100ml,114,,1.53,,,,16.4,,,,,,33,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기스노우 프라페,100ml,66,,0.85,,,,9.81,,,,,,23,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기스무디,100ml,88,,0.92,,,18.22,14.82,,,,,,18,,,,,,,,,0,0.77,4.62,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 스무디 (L),100ml,74,,1.05,,,,13.32,,,,,,24,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 스무디 (L),100ml,52,,0.83,,,,10.18,,,,,,18,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 스무디 (M),100ml,73,,0.86,,,,13.87,,,,,,21,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 스무디 (R),100ml,58,,0.6,,,,11.5,,,,,,10,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기요거 스무디,100ml,101,,1.86,,,,13.71,,,,,,38,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기요거트,100ml,76,,1.14,,,,12,,,,,,21,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,
스무디_글라디에이터 스트로베리 바나나 스무디 (L),100ml,68,,6.43,,,,8.63,,,,,,29,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,
스무디_글라디에이터 스트로베리 바나나 스무디 (R),100ml,49,,6.55,,,,8.67,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_글라디에이터 스트로베리 바나나 스무디 (S),100ml,69,,6.5,,,,8.76,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_글라디에이터 파인애플 망고 스무디 (L),100ml,82,,5.75,,,,13.2,,,,,,35,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,
스무디_글라디에이터 파인애플 망고 스무디 (R),100ml,82,,5.71,,,,13.11,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_글라디에이터 파인애플 망고 스무디 (S),100ml,82,,5.93,,,,13.28,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_꿀배 쿨러시,100ml,64,,0.08,,,,12.9,,,,,,20,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
스무디_녹차 루비치노,100ml,60,,1.38,,,,7.62,,,,,,37,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,
스무디_녹차 리터치노 아이스(ICED) (L),100ml,84,,1.16,,,14.9,13.85,,,,,,28,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,
스무디_녹차 리터치노 아이스(ICED) (ML),100ml,83,,1.27,,,14.93,13.94,,,,,,28,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,
스무디_녹차 바나치노,100ml,89,,1.5,,,16.33,14.52,,,,,,23,,,,,,,,,0,1.2,5.54,,,,,,,,,,,,,,,,,,,,,,,
스무디_달달녹차프라푸치노,100ml,87,,1.38,,,,17.02,,,,,,13,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,
스무디_더블초코 리터치노 아이스(ICED) (L),100ml,80,,1.06,,,13,10.68,,,,,,26,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,
스무디_더블초코 리터치노 아이스(ICED) (ML),100ml,68,,0.99,,,10.85,9.01,,,,,,24,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,
스무디_디카페인 에스프레소 쉐이크,100ml,83,,0.85,,,,9.98,,,,,,32,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 밀크 쉐이크,100ml,105,,1.02,,,,13.37,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 쉐이크,100ml,126,,1.48,,,,12.39,,,,,,20,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,
스무디_딸기 요거스 아이스(ICED) (L),100ml,69,,0.95,,,13.53,12.9,,,,,,14,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,
스무디_화이트 프로스트 (R),100ml,131,,1.2,,,,19.06,,,,,,70,,,,,,,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,
스무디_흑당 스무디,100ml,107,,1.27,,,,14.8,,,,,,15,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,
스무디_히비스커스펀치슬러쉬,100ml,39,,0.02,,,,8.67,,,,,,0,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
스무디_20.6칼로리 슬림 플레인 요거트 스무디,100ml,21,,1.96,,,,1.74,,,,,,17,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,
스무디_가니 리틀 캐리비안 웨이,100ml,56,,0.28,,,,12.71,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_곡물 스무디,100ml,128,,1.89,,,,10.75,,,,,,31,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,
스무디_골드키위 썬샤인 스무디 (L),100ml,74,,0.17,,,,17.09,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_골드키위 썬샤인 스무디 (R),100ml,74,,0.21,,,,16.91,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_골드키위 썬샤인 스무디 (S),100ml,74,,0.28,,,,16.95,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그릭요거트 스트로베리 블루베리 스무디 (L),100ml,70,,1.52,,,,13.37,,,,,,17,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그릭요거트 스트로베리 블루베리 스무디 (R),100ml,69,,1.48,,,,13.32,,,,,,18,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그릭요거트 스트로베리 블루베리 스무디 (S),100ml,69,,1.69,,,,13.28,,,,,,18,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그릭요거트 파인애플 망고 스무디 (L),100ml,67,,0.34,,,,13.87,,,,,,17,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그릭요거트 파인애플 망고 스무디 (S),100ml,67,,0.28,,,,13.84,,,,,,18,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그린티 스무디,100ml,118,,1.96,,,,14.29,,,,,,63,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그린티 스무디 (L),100ml,75,,1.36,,,,12.79,,,,,,18,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그린티 스무디 (M),100ml,70,,1.03,,,,12.86,,,,,,13,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그린티 프라페 (L),100ml,72,,0.87,,,,14.11,,,,,,14,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,
스무디_그린티 프라페 (R),100ml,56,,0.75,,,,10.75,,,,,,13,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인 요거트 스무디,100ml,86,,1.71,1.22,,17.07,15.61,,,,,,25,,,,,,,,,4.88,0.73,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인 요거트 프로스트 (R),100ml,68,,1.54,,,,10.7,,,,,,23,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인 요거트 플랫치노,100ml,55,,1.58,,,,7.6,,,,,,19,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인 요거트 할리치노,100ml,82,,1.98,,,,16.38,,,,,,57,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인 요거트 블렌디드,100ml,93,,2.12,0.85,,,13.13,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인요거트 스무디,100ml,87,,1.42,,,,11.57,,,,,,12,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인 요거트 스무디,100ml,82,,1.17,,,,15.67,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인퐁 크러쉬,100ml,79,,1.79,,,,7.82,,,,,,26,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,
스무디_플레인허니퐁 크러쉬,100ml,82,,1.91,,,,6.11,,,,,,23,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,
